name,subclade,BEAST-set
ACQ63285,V-clade,N
ACQ76327,V-clade,N
ACR67148,V-clade,N
ACV42030,F-clade,N
ACZ16984,V-clade,N
ACZ45021,V-clade,N
ADB89225,V-clade,N
ADD96870,V-clade,N
ADD97485,V-clade,N
ADD97972,V-clade,N
ADE20872,V-clade,N
ADF10088,V-clade,N
ADF10765,V-clade,N
ADF29913,V-clade,N
ADF42693,V-clade,N
ADG08351,F-clade,N
ADJ37710,V-clade,N
ADJ37720,V-clade,N
ADK21757,V-clade,N
ADK33945,V-clade,N
ADM13025,V-clade,N
ADM13195,V-clade,N
ADM13245,V-clade,N
ADM13325,V-clade,N
ADM31552,V-clade,N
ADM32665,V-clade,N
ADM33376,V-clade,N
ADO25186,V-clade,N
ADU85662,F-clade,N
ADV41678,V-clade,N
ADV58868,F-clade,N
ADY70967,clade-split,Y
AEI86978,V-clade,N
AEJ10514,V-clade,N
AEL31708,V-clade,N
AEM92449,V-clade,N
AEW25536,V-clade,N
AFB70268,V-clade,N
AFC36388,V-clade,N
AFD32661,F-clade,N
AFJ69865,V-clade,N
AFJ78845,V-clade,N
AFK14212,V-clade,N
AFK14297,V-clade,N
AFK14423,V-clade,N
AFM47212,F-clade,N
AFN19155,V-clade,N
AFO83319,V-clade,N
AFU09331,V-clade,N
AFU09451,V-clade,N
AFU09461,V-clade,N
AGB13214,V-clade,N
AGB13654,V-clade,N
AGE89365,V-clade,N
AGI55616,F-clade,N
AGI53796,V-clade,Y
AGI54132,V-clade,N
AGI54255,V-clade,N
AGI55038,V-clade,N
AGQ88655,V-clade,N
AGS41553,V-clade,N
AGT41781,F-clade,N
AGU69883,F-clade,Y
AGV74982,V-clade,N
AHA56814,V-clade,N
AHA98614,V-clade,N
AHB21297,F-clade,N
AHB21821,F-clade,Y
AHB22442,V-clade,N
AHB22823,F-clade,N
AHB23159,F-clade,N
AHB51500,F-clade,N
AHB52129,F-clade,N
AHC69359,F-clade,N
AHL58745,F-clade,N
AHX38299,F-clade,N
AHX38905,F-clade,N
AHZ42565,V-clade,N
AIC65506,V-clade,N
AIC65636,V-clade,N
AIE49760,F-clade,N
AIE52541,F-clade,N
AII18894,V-clade,N
AII30941,F-clade,Y
AIL94633,V-clade,N
AIN25532,F-clade,Y
AIP92465,V-clade,N
AIP92751,V-clade,N
BAQ19487,V-clade,N
AJJ99245,V-clade,N
AJJ99495,V-clade,N
AJW32080,F-clade,N
AKA60555,V-clade,N
AKA63553,V-clade,N
AKC44757,V-clade,N
AKE37321,V-clade,N
CRK76979,V-clade,N
AKJ80686,V-clade,N
AKJ81723,V-clade,N
AKJ81919,V-clade,N
AKJ84210,F-clade,N
AKQ11701,V-clade,N
AKQ12119,V-clade,N
AKQ12295,V-clade,N
AKQ12372,V-clade,N
AKV57380,F-clade,N
ALE66504,V-clade,N
ALH26707,V-clade,N
ALX28525,V-clade,N
ALZ43293,F-clade,N
ALZ44716,F-clade,N
ALZ45441,F-clade,N
ALZ46549,F-clade,N
AMA11498,V-clade,N
AMA11641,V-clade,N
AMU04346,V-clade,N
AMY15850,V-clade,N
AMY16297,clade-split,Y
ANE27889,V-clade,N
ANJ77967,V-clade,N
ANM88985,V-clade,N
ANM89260,V-clade,N
ANM89689,V-clade,N
ANM90316,V-clade,N
ANM91999,V-clade,N
ANM92384,V-clade,N
ANM92494,V-clade,N
ANM92923,V-clade,N
ANM93297,V-clade,N
ANM94342,V-clade,N
AOT87152,V-clade,Y
AOT87812,V-clade,N
AOT92481,V-clade,N
AOT92822,V-clade,N
AOT93218,V-clade,N
AOT93350,V-clade,N
AOT93504,V-clade,N
APA16523,F-clade,N
APW30861,F-clade,N
APW31015,F-clade,N
APW31125,V-clade,N
AQT29646,F-clade,N
AQW36024,V-clade,N
AQZ42011,V-clade,N
ARI68404,V-clade,N
ARI69114,V-clade,N
ARX97361,V-clade,N
ASB33595,V-clade,N
ASU07355,V-clade,N
ASU07519,V-clade,N
ASX97549,F-clade,N
ASY92683,F-clade,N
ATB54192,V-clade,N
ATE48651,V-clade,N
ATE49607,V-clade,N
ATE49805,V-clade,N
ATJ01496,F-clade,N
ATJ02232,F-clade,N
ATU89805,V-clade,N
ATV83586,V-clade,N
AUC65543,V-clade,N
AUH31107,V-clade,N
AUN87066,V-clade,N
AUO32041,V-clade,N
AVH77811,V-clade,N
AVH86325,F-clade,Y
AVL84795,F-clade,N
AVP09189,V-clade,N
AVR40411,V-clade,N
AVX28955,V-clade,N
AVX29098,V-clade,N
AWW19692,V-clade,N
AWW19736,V-clade,N
AWW21210,V-clade,N
AWX41375,V-clade,N
AXE74490,F-clade,N
AXI98892,F-clade,N
AXS75423,V-clade,N
AXV43392,V-clade,N
AYD79117,V-clade,N
AYD79146,F-clade,N
AYM50371,V-clade,N
AYO98077,F-clade,N
AYO98313,F-clade,N
AYW34880,F-clade,N
AZQ20323,V-clade,N
AZQ97977,V-clade,N
AZQ98610,V-clade,N
AZS65343,V-clade,N
AZS69541,V-clade,N
QAB02017,V-clade,N
QAB02625,V-clade,N
QAB03569,V-clade,N
QAX26045,F-clade,N
QBA29535,V-clade,N
QBA29612,V-clade,N
QBA82373,V-clade,N
QBF03399,F-clade,N
QBF66943,V-clade,N
QBH70682,V-clade,N
QBH71167,V-clade,N
QBL90278,V-clade,N
QBL90578,V-clade,N
QBL96333,V-clade,N
QBL96773,V-clade,N
QBM03158,V-clade,N
QBM03620,V-clade,N
QBM03987,V-clade,N
QBM06977,V-clade,N
QBM07200,V-clade,N
QBP37612,V-clade,N
QBP37761,V-clade,N
QBQ86198,V-clade,N
QBS18876,V-clade,N
QBS19084,V-clade,N
QBS46608,F-clade,N
QBY33968,V-clade,N
QCF42989,V-clade,N
QCF44161,V-clade,N
QCF60913,F-clade,N
QCG83280,V-clade,N
QCO72446,V-clade,N
QCO89957,F-clade,N
QCP66824,V-clade,N
QCP66835,V-clade,N
QCP67009,V-clade,N
QCP67345,V-clade,N
QCQ18768,V-clade,N
QCQ18777,V-clade,N
QCW11354,V-clade,N
QCW11828,V-clade,N
QCW16659,V-clade,N
QCW16725,V-clade,N
QDC19665,V-clade,N
QDE05243,V-clade,N
QDE05932,V-clade,N
QDF81728,F-clade,N
QDF81864,V-clade,N
QDP15118,V-clade,N
QED94871,V-clade,N
QEI48460,V-clade,N
QEN96289,V-clade,N
QEY10404,V-clade,N
QFZ88290,V-clade,N
QGM78612,V-clade,N
QGT51981,V-clade,N
QGW43679,V-clade,N
QHI02704,V-clade,N
QHN72355,V-clade,N
QHN73187,V-clade,N
QHN73486,V-clade,N
QHX38239,V-clade,N
QHX38414,V-clade,N
QHX39017,V-clade,N
QIA58096,V-clade,N
QID40704,V-clade,N
QIJ23981,V-clade,N
QIJ24947,V-clade,N
QIM56220,V-clade,N
QIQ07894,F-clade,N
QIQ44228,V-clade,N
QIQ45378,V-clade,N
QIQ45778,V-clade,N
QIZ32438,V-clade,N
QIZ32448,V-clade,N
QJB24252,F-clade,N
QJD46840,V-clade,N
AAA73108,clade-split,Y
AAN46830,F-clade,N
ABR28684,clade-split,Y
ABU80404,clade-split,Y
ACF25547,F-clade,N
ACL11953,clade-split,Y
ACQ76337,V-clade,N
ACR67153,V-clade,N
ACR67161,V-clade,N
ACR83984,clade-split,Y
ACR83987,F-clade,N
ACR83991,F-clade,N
ACS14690,V-clade,N
ACS69015,V-clade,N
ACT86053,V-clade,N
ACT86063,V-clade,N
ACU17131,V-clade,N
ACV04533,V-clade,N
ACV42107,F-clade,N
ACV53451,V-clade,N
ACV70428,V-clade,N
ACX83578,V-clade,N
ACY67006,F-clade,N
ACY67009,F-clade,N
ACY77744,V-clade,N
ACZ16814,V-clade,N
ACZ96253,V-clade,N
ACZ96396,V-clade,N
ACZ98372,V-clade,N
ADA83039,V-clade,N
ADD23499,V-clade,N
ADD74522,V-clade,N
ADD74622,V-clade,N
ADD75022,V-clade,N
ADD97285,V-clade,N
ADF27613,V-clade,N
ADF27959,V-clade,N
ADF28069,V-clade,N
ADF84463,V-clade,N
ADG08441,F-clade,N
ADG42717,V-clade,N
ADG59040,F-clade,N
ADH01992,V-clade,N
ADI52818,V-clade,N
ADJ37777,V-clade,N
ADJ80648,V-clade,N
ADK21957,V-clade,N
ADK32394,V-clade,N
ADK32641,V-clade,N
ADK32651,V-clade,N
ADK33725,V-clade,N
ADK33985,V-clade,Y
ADL32358,V-clade,N
ADM13335,V-clade,N
ADM14536,V-clade,N
ADM14572,V-clade,N
ADM14581,V-clade,N
ADM32825,V-clade,N
ADM33024,V-clade,N
ADT64323,V-clade,N
ADT64326,V-clade,N
ADV58871,F-clade,N
ADV58874,F-clade,N
ADX98857,V-clade,N
ADX98934,V-clade,N
ADY69873,clade-split,Y
ADY70279,clade-split,Y
ADY70354,clade-split,Y
ADY71266,F-clade,N
ADY71286,clade-split,Y
ADY80088,clade-split,Y
ADZ04758,clade-split,Y
AEA10317,V-clade,N
AEA73865,V-clade,N
AEA74005,V-clade,N
AEB21317,V-clade,N
AEE27211,V-clade,N
AEI86758,V-clade,N
AEI87018,V-clade,N
AEI87058,V-clade,N
AEJ37937,V-clade,N
AEJ82922,V-clade,N
AEL89635,V-clade,N
AEM62791,V-clade,N
AEM62827,V-clade,N
AEO19864,V-clade,N
AEO52535,F-clade,N
AEO91706,F-clade,N
AEO91805,F-clade,N
AEO91936,F-clade,N
AEP17309,V-clade,N
AER92713,V-clade,N
AEW10645,V-clade,N
AEW25350,V-clade,N
AEW25483,V-clade,N
AEW46944,V-clade,N
AEZ02123,F-clade,N
AFC18542,V-clade,N
AFG31480,V-clade,N
AFK14475,V-clade,N
AFK14808,V-clade,N
AFK77871,V-clade,N
AFL56861,F-clade,N
AFM72836,V-clade,N
AFM73019,V-clade,N
AFN18177,V-clade,N
AFN18250,V-clade,N
AFN19792,V-clade,N
AFN69230,V-clade,N
AFO38523,F-clade,N
AFO83053,F-clade,N
AFP35948,V-clade,N
AFP35997,V-clade,N
AFR78001,F-clade,N
AFU09241,V-clade,N
AFU09411,V-clade,Y
AFU09609,V-clade,N
AFU09649,V-clade,N
AFU92360,F-clade,N
AFV33756,V-clade,N
AFX96368,V-clade,N
AGB13644,V-clade,N
AGB98440,F-clade,N
AGB99342,F-clade,N
AGB99606,F-clade,N
AGC13467,V-clade,N
AEA29258,F-clade,N
AEA29261,F-clade,N
ABG34249,F-clade,N
AGE83931,V-clade,N
AGE89426,V-clade,N
AGF37659,F-clade,N
AGI52494,V-clade,N
AGI52867,V-clade,N
AGI53467,V-clade,N
AGI53552,V-clade,N
AGI54332,V-clade,N
AGI54770,V-clade,N
AGI55416,V-clade,N
AGK24485,F-clade,N
AGK62612,F-clade,N
AGK72816,V-clade,N
AGK73363,V-clade,N
AGL05086,V-clade,N
AGN69699,F-clade,N
AGQ88611,V-clade,N
AGS41585,V-clade,N
AGS41819,V-clade,N
AGU92803,V-clade,N
AGV74465,V-clade,N
AGV75037,V-clade,N
AGY42377,V-clade,N
AHB21223,F-clade,Y
AHB21405,F-clade,N
AHB21440,F-clade,N
AHB21774,F-clade,N
AHB21798,V-clade,N
AHB21965,V-clade,N
AHB22775,F-clade,N
AHB23015,F-clade,N
AHB23134,F-clade,N
AHB51284,F-clade,N
AHB51831,F-clade,Y
AHB52153,F-clade,N
AHB73633,F-clade,N
AHC69323,F-clade,N
AHL21286,V-clade,N
AHL96049,V-clade,N
AHL96585,V-clade,N
AHL99349,V-clade,N
AHM98376,V-clade,N
AHM98771,V-clade,N
AHM98902,V-clade,N
AHN04970,clade-split,Y
AHN13799,V-clade,N
AHW46780,V-clade,N
AHX38114,V-clade,N
AHZ36074,V-clade,N
AHZ42647,V-clade,N
AIC65368,V-clade,N
AIC65410,V-clade,N
AIC65732,V-clade,N
AIE50325,V-clade,N
AIE51158,F-clade,N
AII30677,F-clade,N
AII30803,F-clade,N
AIK26250,V-clade,N
AIK26422,V-clade,N
AIL93685,V-clade,N
AIL93910,V-clade,N
AIL94358,V-clade,N
AIM55819,V-clade,N
AIM55919,V-clade,N
AIM56462,V-clade,N
AIP92497,V-clade,N
AIT16927,V-clade,N
AIT38385,V-clade,N
AIT92543,V-clade,N
AIW60721,V-clade,N
AIW63355,V-clade,N
AJJ99313,V-clade,N
AJJ99358,V-clade,N
AJJ99676,V-clade,N
AJJ99742,V-clade,N
AJJ99878,V-clade,N
AJP13646,F-clade,N
AJP13798,V-clade,N
AJY79538,V-clade,N
AKA63518,F-clade,Y
AKA63581,F-clade,N
AKC44704,F-clade,N
AKC44739,F-clade,N
AKC44787,V-clade,N
AKD00502,F-clade,N
AKD00561,F-clade,N
AKE37246,V-clade,N
AKE37283,V-clade,N
AKE37543,V-clade,N
CRI06007,V-clade,N
CRI06150,V-clade,N
AKH03156,V-clade,Y
AKJ81501,V-clade,N
AKJ81523,V-clade,N
AKJ81975,V-clade,N
AKJ82041,V-clade,N
AKJ82419,V-clade,N
AKJ82441,V-clade,N
AKJ82485,V-clade,N
AKJ84110,F-clade,N
AKJ84117,V-clade,N
AKJ84170,F-clade,N
AKJ84173,F-clade,N
AKJ84328,F-clade,N
AKM14388,F-clade,N
AKM14428,F-clade,N
AKM14591,V-clade,N
AKM14597,F-clade,N
CRX62426,V-clade,N
AKQ10634,V-clade,N
AKQ11074,V-clade,N
AKQ11404,V-clade,N
AKQ11459,V-clade,N
AKQ11679,V-clade,N
AKQ11778,V-clade,N
AKQ11943,V-clade,N
AKQ12427,V-clade,N
ALD19324,F-clade,N
ALD19327,V-clade,N
ALD19377,V-clade,N
ALD19431,V-clade,N
ALH26292,V-clade,N
ALH26403,V-clade,N
ALH26909,V-clade,N
ALP31199,V-clade,N
ALT31797,V-clade,N
ALX28519,V-clade,N
ALX28522,V-clade,N
ALX30322,V-clade,N
ALZ43405,F-clade,N
ALZ43675,F-clade,N
ALZ44636,F-clade,N
ALZ45011,F-clade,Y
AMA11276,V-clade,N
AMA11356,V-clade,N
AMA11740,V-clade,N
AMB71994,V-clade,N
AMR58789,F-clade,N
AMX74897,F-clade,N
ANE27113,V-clade,N
ANE27229,V-clade,N
ANE27944,V-clade,N
ANE27988,V-clade,N
ANE28659,V-clade,N
ANE28782,V-clade,Y
ANE28856,V-clade,N
ANE29360,V-clade,N
ANK57508,F-clade,N
ANM87029,V-clade,N
ANM87502,V-clade,N
ANM88468,V-clade,N
ANM88831,V-clade,N
ANM89524,V-clade,N
ANM89579,V-clade,N
ANM89755,V-clade,N
ANM90019,V-clade,N
ANM90547,V-clade,N
ANM90844,V-clade,N
ANM90899,V-clade,N
ANM91295,V-clade,N
ANM93308,V-clade,N
ANM93440,V-clade,N
ANM94045,V-clade,Y
ANM94474,V-clade,N
AOG30287,V-clade,N
AOG30312,V-clade,N
AOG30557,F-clade,N
AOO54078,V-clade,N
AOO54202,V-clade,N
AOT22681,F-clade,N
AOT22728,V-clade,N
AOT92085,V-clade,N
AOT92316,V-clade,N
AOT92558,V-clade,N
AOT92723,V-clade,N
AOX49593,F-clade,N
AOX49656,F-clade,N
AOX49712,F-clade,N
AOZ86462,V-clade,N
APA16382,F-clade,N
APA16437,F-clade,N
APA16462,F-clade,N
APB89079,V-clade,N
APC58047,V-clade,N
APC60142,V-clade,N
APG56548,F-clade,N
APG56572,F-clade,N
APG56642,F-clade,N
APP92002,F-clade,N
APT38246,V-clade,N
APW30998,F-clade,N
APW81154,V-clade,N
APY25981,V-clade,N
AQI09196,V-clade,N
AQN74519,V-clade,N
AQN74968,V-clade,N
AQN75966,V-clade,N
AQN76015,V-clade,N
AQN76024,F-clade,N
AQS18946,V-clade,N
AQS19146,V-clade,N
AQS98004,V-clade,N
AQT29610,F-clade,N
AQZ42031,F-clade,N
ARB16877,V-clade,N
ARH16536,V-clade,N
ARI68451,V-clade,N
ARI68522,V-clade,N
ARI68552,V-clade,N
ARI68619,V-clade,N
ARI68679,V-clade,N
ARI69082,V-clade,N
ARI69158,V-clade,N
ARI69512,V-clade,N
ARQ86296,V-clade,N
ART29671,V-clade,N
ASB32606,V-clade,N
ASB33145,V-clade,N
ASB33877,V-clade,N
ASF57964,F-clade,N
ASF58002,F-clade,N
ASK80452,V-clade,N
ASK82980,V-clade,N
ASR92007,F-clade,N
ASW34060,F-clade,N
ATB53805,F-clade,N
ATB54291,V-clade,N
ATD52107,V-clade,N
ATE49001,V-clade,N
ATE49847,F-clade,N
ATI21354,F-clade,N
ATI21384,F-clade,N
ATI21414,F-clade,N
ATI21504,V-clade,N
ATI21584,F-clade,N
ATJ01192,V-clade,N
ATJ01333,F-clade,N
ATJ01415,F-clade,N
ATJ01655,F-clade,N
ATJ01755,F-clade,N
ATJ01779,F-clade,N
ATJ02019,F-clade,Y
ATJ02311,F-clade,N
ATJ02378,F-clade,N
ATJ02425,F-clade,Y
ATJ02493,F-clade,N
ATZ79486,V-clade,N
AUM61224,V-clade,N
AUM61391,V-clade,N
AUN87096,V-clade,N
AUO32161,V-clade,N
AUP47943,V-clade,N
AUT17454,V-clade,N
AVH86345,F-clade,N
AVL84716,V-clade,N
AVL84835,F-clade,N
AVN87265,F-clade,N
AVN87514,V-clade,N
AVN87547,F-clade,Y
AVP08993,V-clade,N
AVP09277,V-clade,N
AVP26996,V-clade,N
AVR41077,V-clade,N
AVR41198,V-clade,N
AVX28662,V-clade,N
AVX28944,V-clade,N
AVX35840,V-clade,N
AWB13788,V-clade,N
AWC06868,V-clade,N
AWI42196,V-clade,N
AWI42324,V-clade,N
AWI42423,V-clade,N
AWI42665,V-clade,N
AWW19660,V-clade,N
AWW19704,V-clade,N
AWW19721,V-clade,N
AWW19728,V-clade,N
AWW20739,V-clade,N
AXB51175,V-clade,N
AXB53220,V-clade,N
AXE74532,F-clade,N
AXH80774,V-clade,N
AXV43717,V-clade,N
AXY80590,V-clade,N
AYH65038,F-clade,N
AYM55904,F-clade,N
AYM55934,V-clade,N
BAJ11943,clade-split,Y
AYV62746,V-clade,N
AYV87884,V-clade,N
AYW00698,V-clade,N
AYW00742,V-clade,N
AYW35010,V-clade,N
AZJ60783,V-clade,N
AZJ60888,V-clade,N
AZK23243,V-clade,N
AZL57349,V-clade,N
AZQ20346,V-clade,N
AZQ20403,F-clade,N
AZQ20425,V-clade,N
AZQ98034,V-clade,N
AZQ98271,V-clade,N
AZQ98543,V-clade,N
AZQ98642,V-clade,N
AZQ98675,V-clade,N
AZQ98857,V-clade,N
AZS65154,V-clade,N
AZY88021,V-clade,N
QAX25235,F-clade,N
QAX25878,F-clade,N
QAX25966,F-clade,N
QAX25978,F-clade,N
QAX26079,V-clade,N
QAY27964,V-clade,N
QBA98288,V-clade,N
QBF01523,V-clade,Y
QBF01812,F-clade,N
QBF03108,F-clade,N
QBF66882,V-clade,N
QBH70715,V-clade,N
QBL90298,V-clade,N
QBL90842,V-clade,N
QBL91078,V-clade,N
QBL91106,V-clade,N
QBL96344,V-clade,N
QBL96652,V-clade,N
QBM03049,V-clade,N
QBM03741,V-clade,N
QBM04192,V-clade,N
QBM12576,V-clade,N
QBO25277,V-clade,N
QBO25392,F-clade,N
QBP37942,V-clade,N
QBP37986,V-clade,N
QBQ86692,V-clade,N
QBR87023,V-clade,N
QBX91572,V-clade,N
QBX91606,V-clade,N
QBX92191,V-clade,N
QBY33814,V-clade,N
QBY34056,V-clade,N
QBZ79099,V-clade,N
QBZ79108,V-clade,N
QBZ79395,V-clade,N
QBZ80395,V-clade,N
QCF43967,V-clade,N
QCF60854,V-clade,N
QCF60943,F-clade,N
QCG83083,V-clade,N
QCG83544,V-clade,N
QCG83687,V-clade,N
QCO71997,V-clade,N
QCO72077,V-clade,N
QCO72290,V-clade,N
QCO72730,V-clade,N
QCO89975,F-clade,Y
QCO90032,V-clade,N
QCO90179,F-clade,N
QCO90732,V-clade,N
QCP67299,V-clade,N
QCP67449,V-clade,N
QCP67746,V-clade,N
QCQ18782,V-clade,N
QCT08276,V-clade,N
QCW11927,V-clade,N
QCW16983,V-clade,N
QCW17517,V-clade,N
QCW17726,V-clade,N
QCW17913,V-clade,N
QCW18319,V-clade,Y
QDA16864,V-clade,N
QDA17734,V-clade,N
QDA45749,V-clade,N
QDE05382,V-clade,N
QDE05635,V-clade,N
QDE05744,V-clade,N
QDJ94521,V-clade,N
QDJ94829,V-clade,N
QDJ95853,V-clade,N
QDP14881,V-clade,N
QDP16652,V-clade,N
QDP16718,V-clade,N
QDP16751,V-clade,N
QDP16804,V-clade,N
QDX11129,V-clade,N
QDX16135,V-clade,N
QED94739,V-clade,N
QEH91973,V-clade,N
